项目名,申请次数,首次申请时间,最近申请时间,分支种类数,最常用分支
Puzzle_EV1,1,2025-07-30 14:46:00,2025-07-30 14:46:00,1,Snapdragon_Premium_High_2023.SPF.1.0
CleanEye,1,2025-07-28 11:45:00,2025-07-28 11:45:00,1,Turbox-QCM6490.LA.3.2
Kyle,1,2025-07-24 13:27:00,2025-07-24 13:27:00,1,Turbox-Snapdragon_Mid_2022.SPF.2.0
Poc_9100M_DK,1,2025-07-24 09:48:00,2025-07-24 09:48:00,1,Turbox-Qualcomm_Linux.SPF.1.0
Plug,1,2025-07-23 18:42:00,2025-07-23 18:42:00,1,Turbox-Snapdragon_Mid_2022.SPF.2.0
Wos6490P_NUC,1,2025-07-23 17:29:00,2025-07-23 17:29:00,1,Turbox-QCM6490.LA.3.1
Foresight,1,2025-07-16 17:11:00,2025-07-16 17:11:00,1,Turbox-Hamoa.WP.1.0
PlusWin,1,2025-07-16 12:17:00,2025-07-16 12:17:00,1,Turbox-QCM6490.WP.1.0
Stellar,1,2025-07-11 13:52:00,2025-07-11 13:52:00,1,Turbox-QCS8550.LE.1.0
Rob_Earth,1,2025-07-08 10:52:00,2025-07-08 10:52:00,1,Turbox-Qualcomm_Linux.SPF.1.0
NEXT,1,2025-07-04 10:57:00,2025-07-04 10:57:00,1,Turbox-QCM6490.LA.3.2
CROWN,1,2025-07-01 13:52:00,2025-07-01 13:52:00,1,Turbox-QCM6490.LA.3.2
